id,comment,clean_comment,Label
30,Your view on Larsen.. It has come down a bit.. Do you see it has good potential go up.,view larsen come bit see good potential go up ,0
31,"n the name of religion Christian people never kill anyone ,Isis call Alla before killing people ,can we call them human ,!?absulutely not they r animal",n name religion christian people never kill anyone isis call alla killing people can call human absulutely r animal,1
32,There u are...,u are ,0
33,80% of kerala peoples like beef....we dont like anyone to interfere in it!it is the right to eat what we desire....we will unite against beef ban....it is because of the foolish performance of bjp and alliances in the field that they can't get much hold in kerala, kerala peoples like beef we dont like anyone interfere it it right eat desire we unite beef ban it foolish performance bjp alliances field can get much hold kerala,1
34,Will Consuming almonds and a glass of milk help improve memory power,consuming almonds glass milk help improve memory power,0
35,"’¥India's No.1 Home Job’¥ earn money without any investment multi level networking work daily 2 hours per day earn rs 500 to 1000rs daily ”¥life changing oppurtunity type ""JOIN"" and send to my whatsapp no +918444867178",india no home job earn money without investment multi level networking work daily hours per day earn rs daily life changing oppurtunity type join send whatsapp ,0
36,This is a very ground level talk far away from technology which google is offering now. And google search is not technology to be consider wow factor in India...,ground level talk far away technology google offering now google search technology consider wow factor india ,0
37,All members will give a vote of thanks to Shri Rahul Gandhi & Priyanka Gandhi for their sincere efforts during 2017 UP election polls.,members give vote thanks shri rahul gandhi priyanka gandhi sincere efforts election polls ,1
38,"He is trying to become famous by giving a controversial statement, ignore him , don't make him famous by sharing ...lol",trying become famous giving controversial statement ignore make famous sharing lol,0
39,Appeasement policy by Congress govt is made people easy earning in the name of problem.so revoke Nehru s article 370 promote hard work in the place of appeasement,appeasement policy congress govt made people easy earning name problem so revoke nehru article promote hard work place appeasement,1
40,V unfortunate. Tatas in news lately for all d wrong reasons,v unfortunate tatas news lately wrong reasons,0
41,stopped watching the video long time back ... just enjoying the comments here now :D .. the worst launch ever for any product,stopped watching video long time back enjoying comments d worst launch ever product,1
42,Can u plz suggest for Andhra Bank and Mahindra Life Space developers..I can hold long,u plz suggest andhra bank mahindra life space developers i hold long,0
43,Vinod Wangnoo I think you are Pakistani,vinod wangnoo think pakistani,1
44,"Under Rajnath Police, even his state president is not secure...they talk of EIP bluff masters !!!",rajnath police even state president secure they talk eip bluff masters ,1
45,"India should ban NDTV first , and then talk about anything ! , NDTV is separatist channel !",india ban ndtv first talk anything ndtv separatist channel ,0
46,"You can do kadi ninda, :D or arnab can bark on TV, LOL!!!",kadi ninda d arnab bark tv lol ,1
47,Evm me fix,evm fix,1
48,"true he said,,noise pollution",true said noise pollution,1
49,e-transactions are liable to charge!! Should it not be the other way - so much manpower fuel etc is saved for the system!!,e transactions liable charge way much manpower fuel etc saved system ,0
50,Next slap to sm Krishna..... Saya time nalli aase,next slap sm krishna saya time nalli aase,1
51,India will react by not playing cricket with Pakistan or they ll make a bollywood movie against Pakistan in which they will show their army doing surgical strike... lol,india react playing cricket pakistan make bollywood movie pakistan show army surgical strike lol,1
52,Very bad news channel is ABP Neaws channel Only BJP news channel in this world Very bad news channel is ABP Neaws channel Not interested in indian people,bad news channel abp neaws channel bjp news channel world bad news channel abp neaws channel interested indian people,1
53,One can buy with a sl 850 for tgt 901/938/951/980/1038 for period six months,one buy sl tgt period six months,0
54,What will a chaddi like you do in AAP?,chaddi like aap ,1
55,"Nothing will happen.. it will stabilize, take a chill pill and ride it out",nothing happen stabilize take chill pill ride,0
56,Kaasmir innocnt people killed by indian army . Then Pak army killed Indian army,kaasmir innocnt people killed indian army pak army killed indian army,1
57,"Prithvi Setty and see where the ""due process of law"" has brought India, poverty, unemployment, crime and what not.",prithvi setty see due process law brought india poverty unemployment crime not ,1
58,Two times Oscar Tom Hanks can't play Jesus,two times oscar tom hanks can play jesus,1
59,What Govt of Delhi is doing? Why Delhi elected an idiot who doesn't work and only talk.,govt delhi doing delhi elected idiot work talk ,1
60,He is crazy man all,crazy man,1
61,"True bmc the so called bastion of Shiv Sena,but the numbers tell a different story. Had the shs impact been there they would have had a complete majority and the bjp would have been left decimated. Still BJP has a chance to edge ahead of shs.",true bmc called bastion shiv sena but numbers tell different story shs impact would complete majority bjp would left decimated still bjp chance edge ahead shs ,1
62,"#ExpressFrontPage The first such criminal prosecution has been filed against Mukesh Ruia, promoter of the listed Shekhawati Poly-Yarn Ltd on February 28.",expressfrontpage first criminal prosecution filed mukesh ruia promoter listed shekhawati poly yarn ltd february ,0
63,"Meeting between two Religious Fundamentalist Leaders with contrasting religious focii astonished me! They buried SECULARISM. the principle that unify people. Perescution, deprivation, oppression, margianillastion, torture and hatred -all these actions are meted out to the minorities in these countries and these leaders are ICONs in their countries..",meeting two religious fundamentalist leaders contrasting religious focii astonished me buried secularism principle unify people perescution deprivation oppression margianillastion torture hatred all actions meted minorities countries leaders icons countries ,1
64,Let's see who will apologise... i wish it works but it will not... I can see the poorest implementation in the whole process...,let see apologise wish works not see poorest implementation whole process ,1
65,Shahid RASHID....u pig....what r u saying Nice for....u feel happy abt this...??? Shame on u....be ready for the consequences.,shahid rashid u pig what r u saying nice for u feel happy abt this shame u be ready consequences ,1
66,"Short and sweet , Anuj your hard work and commitment has made you reach new heights in your career just like nifty, hv been a fan of yours since last ten years , cheers",short sweet anuj hard work commitment made reach new heights career like nifty hv fan since last ten years cheers,0
67,"Aakash Sinha aiff stands for football , why are they rewarding badminton , wrestling Olympians ?",aakash sinha aiff stands football rewarding badminton wrestling olympians ,0
68,"Special message to all of u ; ""Always help poor ,orphans and needy people """,special message u always help poor orphans needy people ,0
69,"Yes performance is a big question, but then how could the stocks of the group companies appreciate after 2012 the time when Cyrus Mystry took over",yes performance big question could stocks group companies appreciate time cyrus mystry took,0
70,You protect cows more than the women and children in this country. Thats pathetic!!,protect cows women children country thats pathetic ,1
71,Himachal high court also banned our very old tradition of buffalo fighting event in dussera.. Dont know why court want to show its superiority..instead it should ban killing of animals in slaughter house,himachal high court also banned old tradition buffalo fighting event dussera dont know court want show superiority instead ban killing animals slaughter house,0
72,Tata Cousel: No petition to remove Cyrus Mistry as Director of Tata Sons,tata cousel petition remove cyrus mistry director tata sons,0
73,I am too ;) He didn't joined, joined,0
74,Hold problem start from muslims don't blame US,hold problem start muslims blame us,1
75,What about car sales data will impact on market tomorrow..,car sales data impact market tomorrow ,0
76,Indians are not serious about corruption!,indians serious corruption ,1
77,"I have m&m buying cost 1225 , what to do",m m buying cost ,0
78,There is a big issue regarding the grading system where students who dont even know the subject top that subject in places like bihar. So my question is how will you tackle issues like these?,big issue regarding grading system students dont even know subject top subject places like bihar question tackle issues like these ,0
79,"oh...i get it...he's saying 'screw you bajaj, for making me do this'!",oh i get it he saying bajaj making this ,1
80,Do you think that we don't have person better than him? Too much publicity?,think person better him much publicity ,0
81,First ever Indian prime minister in Indian history who's thinking about Indian nd india You are genius sir,first ever indian prime minister indian history who thinking indian nd india genius sir,0
82,And u r not beautiful at all,u r beautiful,1
83,Where is the proof sir!!,proof sir ,0
84,Serious issue thanks to shewag responded immediately. Politics entered in education system. It is serious thing. Nobody condemning for their own interests. Future of Indian youngest generation will be dark due to poison thinking. Is these are ache din.,serious issue thanks shewag responded immediately politics entered education system serious thing nobody condemning interests future indian youngest generation dark due poison thinking ache din ,1
85,"Nice analysis and what I like is ""your optimism and point that if my customer has not loose any money, he will be coming back"". I also liked that you were saying there is no much impact on seeds buying for Rabi and rural economy will be gud but these media people under the compulsion of showing some headlines always ask questions repetitively till they get answers the way they want it. In media no body will look at their channel if they don't make big headlines and keep discussing this event for months. In Summary good analysis !! all the best !!",nice analysis like your optimism point customer loose money coming back also liked saying much impact seeds buying rabi rural economy gud media people compulsion showing headlines always ask questions repetitively till get answers way want it media body look channel make big headlines keep discussing event months summary good analysis best ,0
86,Now there are quite a few with mediocre students who cannot keep up with the smart ones! Just like IITs in India.,quite mediocre students cannot keep smart ones like iits india ,1
87,He is 9th powerful man in the world dont forget it everyone, powerful man world dont forget everyone,1
88,I wont sing like this to buy this .. :-(,wont sing like buy ,0
89,"The BIGGIES and their first 3 days...#Sultan 105.53 cr [Wednesday release]#Dangal 107.01 cr#Baahubali2 128 cr [Hindi] India biz ” taran adarsh (@user) May 1, 2017",biggies first days sultan cr wednesday release dangal cr hindi india biz taran adarsh may ,0
90,Every time anuj finishes sonia starts speaking 'oh yes' hahaha each and every time.....,every time anuj finishes sonia starts speaking yes hahaha every time ,0
91,Very good decision. I know it their will be problem for the common man but then it is for us so we can bear that but hats off to the government who had taken such a bold decision‘»,good decision know problem common man us bear hats government taken bold decision,0
92,do something solid and satisfactory pakistan will never change but we have to change,something solid satisfactory pakistan never change change,1
93,All from all around the world,around world,1
94,Republic is coming...father of all English channels....@user s first global venture,republic coming father english channels first global venture,0
95,Wish you great years ahead . Happy Diwali Ratan Tata,wish great years ahead happy diwali ratan tata,0
96,He Congress is the fourth corrupted country of the world,congress fourth corrupted country world,1
97,Wt abt OMG,wt abt omg,0
98,launch curry ninda missile to make indian bravehearts safe instantly for few hours until next bravehearts become vulnerable before launch of next curry ninda missile!,launch curry ninda missile make indian bravehearts safe instantly hours next bravehearts become vulnerable launch next curry ninda missile ,1
99,What do Muslims have to say about their share in crimes in non-muslim countries... Muslims use terror against non-muslims to subjugate them...your crimes are 2.5 times your population in India...,muslims say share crimes non muslim countries muslims use terror non muslims subjugate them your crimes times population india ,1
100,Very democratic response by the Aviation Minister. No one is above law....,democratic response aviation minister one law ,0
101,Now Wake up what you did in your period please check. PM Modiji take bold step please support not accuses.,wake period please check pm modiji take bold step please support accuses ,0
102,Rubbish.,rubbish ,1
103,Why cant bjp nd its supporters ban leather industries which use cows nd which are owned by hindus or muslims,cant bjp nd supporters ban leather industries use cows nd owned hindus muslims,0
104,Kerala ! Dont ever vote for BJP !,kerala dont ever vote bjp ,1
105,Demonetization helps the market to more business and the double transaction,demonetization helps market business double transaction,1
106,Its fake. Indians nothing have to say except barking. Read the reality. @url,fake indians nothing say except barking read reality ,1
107,Anti bjp groups are on paralizing mode....they cant recover ....going to be worst condition more n more,anti bjp groups paralizing mode they cant recover going worst condition n,1
108,Mary is as good as sachin tendulkar for our bharat,mary good sachin tendulkar bharat,0
109,"I bought edelweiss at 36, should i stay invested or book profit",bought edelweiss stay invested book profit,0
110,Jwala Prasad She is always there to rescue hindu workers in Gulf countries.,jwala prasad always rescue hindu workers gulf countries ,1
111,When are we ready to welcome Nifty at 9000 and then 9300!!,ready welcome nifty ,0
112,"Welcome Sir Please kindly make it convenient to be spared my experiences as a Self Employed Er. Entrepreneur : My life with family as an Er. Entrepreneur have been spoiled due to Dubious Actions by Vengeful Officials of corrupted ISI, SBI, KFC, etc. From 1982 to 1997, they have played with my life as an SSI unit proprietor. During 1990, I tried justice from ISI and SBI through Kerala State Consumer Disputes Redressal Commission and in 1992, an appeal filed with National CDRC, both Commissions having Judicial as well as Non Judicial Officers found some technical reasons to deny me Justice. I had no advocate to sue my plight. All members of both Commissions realized the truth, but with the help of LIMITATION Act. But my inexperience and obligation towards the system, I became silent and continue efforts to revive and rehabilitation of my Sick SSI unit with full cooperation of Industries Department. On 7.7.1995, I paid to KFC on One Time Settlement in full spirit of letter of KFC dated 23.6.95. But my inability to please the corrupted Officials, the unit taken over by Revenue Recovery Act on 30.5.95 was kept with custody of KFC. I was at Head Office of KFC, Trivandrum after my OTS payment, till a road accident at Palauan over Trivandrum on 6.3.97. I was under treatment from Medical College Trivandrum, Kannur District Hospital, City Hospital Mangalore, etc and in least of 1997, I visited KFC HO with the help Crutches, and realised that instead of blood, water is flowing through the Officials and the same day visit Kerala State CDRC and very next day filed a complaint against KFC. After three months, the Commission received reply from KFC with copy to me. On the basis of KFC's reply, the Commission started dictating Judgement and Dismissed my Complaint directing to Sue in Civil Court. Next day I filed a Review Petition besides few other. The Hearing Day when I stand with help of Crutches and started to express my view, the Commission President threatened on huge cost to be Ordered against me. I managed to escape the so called Consumer Court with fear. But still I know that any one have common sense will award justice to me from National and State CDRC on both cases. After ,1977 to 2009, I was under acute mental depression. I started writing to Central And State Governments and hence passed 5 pages G O, in 2010 direct KFC to settle issues at Board Level and to write to various Ministries of Government of India to enquire and compensated me due to Dubious Actions by ISI and SBI. But my efforts continue yet, the Corrupted Officials also continue to resist my efforts at my 67th age. What we understand from the synopsis of plight- Officials have good salary and support from all cadre of Government to save corrupted ones with the backing of so called Provision in court both Judicial and Quasi Judicial, like CDRCs, Human Rights Commissions, etc. My plight covered by Malayalam Manorama, The Hindu, Deepika, Deccan Chronicle, etc.. and are at my face book account. Shall I await for an early justice from the Authorities concerned within my last days and which will light to effectively to formation of New safety measures to self employed personals and prevent such bad experiences suffering by me and family. Sincerely, Elembilayi Sadanandan, Vishnu Nilayam, Chovva, Kannur, Kerala 670006. Mob 9388523453 9809274436. Email e.sadanandan@user.com God's Choicest Blessings be Showered on to all who go through and who reluctant to give justice or who had any role to suffering of mine.",welcome sir please kindly make convenient spared experiences self employed er entrepreneur life family er entrepreneur spoiled due dubious actions vengeful officials corrupted isi sbi kfc etc played life ssi unit proprietor tried justice isi sbi kerala state consumer disputes redressal commission appeal filed national cdrc commissions judicial well non judicial officers found technical reasons deny justice advocate sue plight members commissions realized truth help limitation act inexperience obligation towards system became silent continue efforts revive rehabilitation sick ssi unit full cooperation industries department paid kfc one time settlement full spirit letter kfc dated inability please corrupted officials unit taken revenue recovery act kept custody kfc head office kfc trivandrum ots payment till road accident palauan trivandrum treatment medical college trivandrum kannur district hospital city hospital mangalore etc least visited kfc ho help crutches realised instead blood water flowing officials day visit kerala state cdrc next day filed complaint kfc three months commission received reply kfc copy me basis kfc reply commission started dictating judgement dismissed complaint directing sue civil court next day filed review petition besides other hearing day stand help crutches started express view commission president threatened huge cost ordered me managed escape called consumer court fear still know one common sense award justice national state cdrc cases acute mental depression started writing central state governments hence passed pages g o direct kfc settle issues board level write various ministries government india enquire compensated due dubious actions isi sbi efforts continue yet corrupted officials also continue resist efforts age understand synopsis plight officials good salary support cadre government save corrupted ones backing called provision court judicial quasi judicial like cdrcs human rights commissions etc plight covered malayalam manorama hindu deepika deccan chronicle etc face book account shall await early justice authorities concerned within last days light effectively formation new safety measures self employed personals prevent bad experiences suffering family sincerely elembilayi sadanandan vishnu nilayam chovva kannur kerala mob email e sadanandan god choicest blessings showered go reluctant give justice role suffering mine ,0
113,"BJP ko 82 Mila hai AUR shivsena ko 84,it is not massive,and more over BJP has won 8/10 municipal corporation then how is shivsena performing well.How is this newspaper posting such fake news",bjp ko mila hai aur shivsena ko it massive and bjp municipal corporation shivsena performing well how newspaper posting fake news,1
114,This is insane. We need re-election,insane need re election,1
115,Lol brother what are you talking about...Ur comments make no sense,lol brother talking about ur comments make sense,1
116,Calls to all networks to remain free even after March 31: Mukesh Ambani,calls networks remain free even march mukesh ambani,0
117,"Upto 2000 rs means ,is that only 2000 rs note ,?",upto rs means is rs note ,0
118,He too is interested to join politics.,interested join politics ,1
119,By allowing only private sector banks as partners you sold this country tax systems to foreign institutions,allowing private sector banks partners sold country tax systems foreign institutions,0
120,Second term...... no support from government = for future Indian economy negative .,second term support government future indian economy negative ,1
121,Once this type of talks was in fantasy of me. Now thank God it's become real in my life time,type talks fantasy me thank god become real life time,0
122,Why didn't u stopped 500 and 1000 notes from 8pm on 8th of nov.why have u given 4 extra hours to people to cover bkack money in books.,u stopped notes nov why u given extra hours people cover bkack money books ,1
123,Two aspects of....first a good humane initiative..........second...a deadly omen....where we are heading....when we can't breathe freely....do we need to purchase machine to breathe and survive...since such installation is not cure for ever growing problem.. but a warning sign to all of us,two aspects of first good humane initiative second a deadly omen where heading when can breathe freely do need purchase machine breathe survive since installation cure ever growing problem warning sign us,1
124,"Story of the sme going online is an eye opener , the eay internet technolgy is changing business is done...gr8t",story sme going online eye opener eay internet technolgy changing business done ,0
125,Life is so harsh ....even good deeds at times gives a big loss !!,life harsh even good deeds times gives big loss ,1
126,Very sad,sad,1
127,India does not need fake secularism and pseudo seculars.,india need fake secularism pseudo seculars ,0
128,Spot on...but it should apply across the spectrum of religions. No one has a right to disturb anyone in the guise of religion and blaring of loudspeakers should be in conformity with the supreme court guidelines.,spot on but apply across spectrum religions one right disturb anyone guise religion blaring loudspeakers conformity supreme court guidelines ,1
129,Market going down after touching high is certainly bad news,market going touching high certainly bad news,0
130,Actually i feel really bad to heard this type of word.,actually feel really bad heard type word ,1
131,You won't be missed for sure!! There would be a lot less hypocrisy once you are gone!!,missed sure would lot less hypocrisy gone ,0
132,"So its alright to lynch people for ""alleged"" stealing of cows whether Hindu or Muslim? What's wrong with you?",alright lynch people alleged stealing cows whether hindu muslim what wrong you ,0
133,"Guess they will suprise us,, launch would happen next year.. its only a trailer",guess suprise us launch would happen next year trailer,1
134,Defame of National Flower by this loser,defame national flower loser,1
135,Paid media,paid media,1
136,Yes the government should try once they are sure of the success since the government has the entire nation at stake - blinds like you can never see that Nobody is against the action but the process was ridiculous and unprepared,yes government try sure success since government entire nation stake blinds like never see nobody action process ridiculous unprepared,0
137,Very bad airtel 3G and 4g reng no use Internet,bad airtel reng use internet,0
138,"Tamil nadu has not voted to bjp, hence modi has decided not to put one governor who is been visiting guest how he will understand the people expectation , every body punishing the common man",tamil nadu voted bjp hence modi decided put one governor visiting guest understand people expectation every body punishing common man,1
139,cpi a fallen party and jnu a scandalous institute and kanhaiya the son born out of scandal activities,cpi fallen party jnu scandalous institute kanhaiya son born scandal activities,1
140,"But "" I'll be right to join BJP"" - says Anna Hazare.", i right join bjp says anna hazare ,0
141,Killing Gandhiji is it correct?,killing gandhiji correct ,0
142,Could you please tell what to do with Idea Cellular...? Do you see any potential in the stock?? Thank you....,could please tell idea cellular see potential stock thank you ,0
143,Every one has a date to worry. He was working against this Country as if he may remain in the same spirit for ever.,every one date worry working country may remain spirit ever ,0
144,"Mam give long term view on Reliance, Reliance and Relcapital.....",mam give long term view reliance reliance relcapital ,0
145,One and the same thing !!,one thing ,0
146,Correpted,correpted,1
147,"We understand it's difficult to answer about every stock, why don't you give a overall view on the industry of that particular stock",understand difficult answer every stock give overall view industry particular stock,0
148,"Beta it's not bally wood shooting, it's called war. Your army is just like she male army. O respect and dignity at their own. Don't ever try to mess with Pak.",beta bally wood shooting called war army like male army respect dignity own ever try mess pak ,1
149,India Karega Pakistan ke G@user Block Now say ˜‚₪£˜‚₪£ Thank you to NARENDRA MODI - Pakistan Banega Regestaan @url,india karega pakistan ke g block say thank narendra modi pakistan banega regestaan ,0
150,Could have migrated to BS4 in 2014 but govt was not ready with fuel: Pawan Goenka,could migrated govt ready fuel pawan goenka,0
151,Pls don't poke your nose in Kerala issues we know how to solve and rectify the issues. The problem with sanghis in Kerala is that not like other states here if they kill any one the Cpm tallies it. So the sanghis are crying bcs of it.,pls poke nose kerala issues know solve rectify issues problem sanghis kerala like states kill one cpm tallies it sanghis crying bcs it ,1
152,"How dare you call them terrorists? They are FREEDOM FIGHTERS, and you are PRESSTITUTES. hashtag anti-national media houses.",dare call terrorists freedom fighters presstitutes hashtag anti national media houses ,1
153,"I respect mira, her choices, homemakers a lot but she shouldn't insult working women who continue jobs after marriage and kids. Every mother loves her kids, everyone's situation,dreams,conditions, methods are different. Crores of middleclass wo.en work by choice,some by situation,they dont think they are dog mothers,their kids will punch if someone insulted their mothers hard work by this way. These days Kids are independent,tough so does mothers . Everyone has right to make their career,follow dreams,goals,passions, families these days help working women in chores and childcare.",respect mira choices homemakers lot insult working women continue jobs marriage kids every mother loves kids everyone situation dreams conditions methods different crores middleclass wo en work choice some situation they dont think dog mothers their kids punch someone insulted mothers hard work way days kids independent tough mothers everyone right make career follow dreams goals passions families days help working women chores childcare ,1
154,Talak to de nahi sakta . Aur Bina mare dusri kar nahi sakta tha is liye . Sahyad Us bechari Ko raste se hata diya hoga.,talak de nahi sakta aur bina mare dusri kar nahi sakta tha liye sahyad us bechari ko raste se hata diya hoga ,0
155,she dznt even deserve 2 live in India.... itz our country kick her out,dznt even deserve live india itz country kick,0
156,Block the movement of trucks with cows and buffaloes into kerala from tamil.nadu and karnataka ... kerala does.not have enough cattle to feed it's population.....,block movement trucks cows buffaloes kerala tamil nadu karnataka kerala does not enough cattle feed population ,1
157,needed move 4 genuine curtomers and P note measurement will help to curb against speculation,needed move genuine curtomers p note measurement help curb speculation,0
158,David L Roberts and P.S - your an American citizen and Donald Trump is your President. To say or believe otherwise doesn't change reality. Get some help,david l roberts p s american citizen donald trump president say believe otherwise change reality get help,0
159,I'm a class 11 student... I want to ask the government....What the hell is happening??,i class student want ask government what hell happening ,1
160,Call in the airforce and bomb the hell out of dantewada,call airforce bomb hell dantewada,1
161,Employees of Financial services will never be able to celebrate new year ˜˜˜,employees financial services never able celebrate new year ,0
162,Don't you proof read your stuff?? Stupid NDTV.. 56 Billion? Seriously???,proof read stuff stupid ndtv billion seriously ,1
163,She's so ignorant Megha Mukherji,ignorant megha mukherji,1
164,This ridiculous act.....it's illiterates people's works coz an intellectual people goes with honesty......stop such thing ever with the Indians ..... Cowardic organiser.,ridiculous act it illiterates people works coz intellectual people goes honesty stop thing ever indians cowardic organiser ,1
165,"You just live in Dubai, when you are in India, you will know why",live dubai india know,0
166,Ya u are bjp we know,ya u bjp know,1
167,Friends the next things which come after ICJ ruling is whether Pakistan allows Jadhav counsellor acess or he will be murdered like Sarabjeet Singh .... I think this is what we all should be looking at now because Pakistan army would never allow counsellor acess because if that happens a pandoras box of lies will come out against Pakistan army .... So friends keep fingers crossed ....,friends next things come icj ruling whether pakistan allows jadhav counsellor acess murdered like sarabjeet singh think looking pakistan army would never allow counsellor acess happens pandoras box lies come pakistan army friends keep fingers crossed ,1
168,Bjp - this time please work anything good for country now. You guys are in power in both sabha's,bjp time please work anything good country now guys power sabha,0
169,Wipe out Pakistan .. main culprit for all this disturbance,wipe pakistan main culprit disturbance,1
170,India has no option gud night have a sweet dreams,india option gud night sweet dreams,1
171,Akhilesh was already in Contact with Congress and JDU for an alliance in UP polls.,akhilesh already contact congress jdu alliance polls ,0
172,Nly if 1/10th of this money could be given to the athletes before Olympics,nly money could given athletes olympics,0
